name,id,state,created_at,exp_name,replay_enabled,priority_function,enable_age_decay,age_decay,importance_sampling_correction
20260114_143335_frozen_lake_no_replay_step,oqtcsswy,finished,2026-01-14T12:31:18Z,frozen_lake_no_replay_step,False,uniform,False,1000,False
20260115_193211_traj_per,j11holct,finished,2026-01-15T16:19:46Z,frozen_lake_traj_per,True,reward,False,1000,True
20260119_204444_step_per_nstep,5f8bxd0q,finished,2026-01-21T07:45:33Z,step_per_nstep,True,reward,False,1000,True
20260119_223447_step_reward_fresh_nstep,snmce47h,finished,2026-01-21T07:53:32Z,step_reward_fresh_nstep,True,reward_fresh,False,500,True
20260120_142505_traj_reward_fresh,efa63f1x,finished,2026-01-21T07:54:10Z,traj_reward_fresh,True,reward_fresh,False,500,True
20260122_145133_step_baseline,d8vs3ifu,finished,2026-01-23T07:00:22Z,step_baseline,False,uniform,False,1000,False
20260122_145417_traj_baseline,1d095gci,finished,2026-01-23T07:00:35Z,traj_baseline,False,uniform,False,1000,False
20260122_150106_traj_per,o2h5wzrp,finished,2026-01-23T07:00:45Z,traj_per,True,reward,False,1000,True
20260123_164415_step_per,m23wm4qa,finished,2026-01-24T07:23:01Z,step_per,True,reward,False,1000,True
20260123_164201_step_baseline,yyg5doap,finished,2026-01-24T07:25:37Z,step_baseline,False,uniform,False,1000,False
20260124_155601_step_per,r3zc6c3z,finished,2026-01-25T10:21:33Z,step_per,True,reward,False,1000,True
20260124_160415_step_reward_fresh,y2u3phtb,finished,2026-01-25T10:21:59Z,step_reward_fresh,True,reward_fresh,False,500,True
20260126_050125_step_reward_fresh,iri6hjoy,finished,2026-01-26T09:07:02Z,step_reward_fresh,True,reward_fresh,False,500,True
20260126_202655_traj_baseline,jdhsp1f5,finished,2026-01-27T06:24:44Z,traj_baseline,False,uniform,False,1000,False
20260127_215523_traj_reward_fresh,5y4jqecx,finished,2026-01-28T05:50:29Z,traj_reward_fresh,True,reward_fresh,False,500,True
20260128_181929_traj_reward_fresh_configA,9sbrjdvb,finished,2026-01-29T06:57:29Z,traj_reward_fresh_configA,True,reward_fresh,False,500,True
20260128_184656_step_reward_fresh_configA,54qe83gt,finished,2026-01-29T06:57:40Z,step_reward_fresh_configA,True,reward_fresh,False,500,True
20260129_160515_traj_reward_fresh_configA,hovdqeoa,finished,2026-01-29T17:42:19Z,traj_reward_fresh_configA,True,reward_fresh,False,500,False
20260130_034120_step_reward_fresh_configA,i2yoi5hq,finished,2026-01-30T20:42:34Z,step_reward_fresh_configA,True,reward_fresh,False,500,False
20260130_040529_traj_reward_fresh_configA,w91pl0e4,finished,2026-01-30T20:42:49Z,traj_reward_fresh_configA,True,reward_fresh,False,500,False
20260130_040641_traj_reward_fresh,3b1z8s7w,finished,2026-01-30T20:43:00Z,traj_reward_fresh,True,reward_fresh,False,500,False
20260130_045910_step_reward_fresh,dsb6p3ez,finished,2026-01-30T20:43:07Z,step_reward_fresh,True,reward_fresh,False,500,False
20260131_155911_traj_reward_fresh_configA,5jd3gg0l,finished,2026-02-01T10:37:42Z,traj_reward_fresh_configA,True,reward_fresh,True,500,False
20260131_155522_traj_reward_fresh,mkdzu3d8,finished,2026-02-01T10:44:49Z,traj_reward_fresh,True,reward_fresh,False,500,False
20260131_160100_step_reward_fresh,56rwcum8,finished,2026-02-02T06:57:16Z,step_reward_fresh,True,reward_fresh,True,500,False
20260131_160147_step_reward_fresh_configA,aomrg1f5,finished,2026-02-02T06:57:30Z,step_reward_fresh_configA,True,reward_fresh,True,500,False
20260201_191332_traj_reward_fresh,a4a5qvuf,finished,2026-02-02T06:57:45Z,traj_reward_fresh,True,reward_fresh,True,500,False
20260201_191930_traj_reward_fresh_configA_IS,61uv63jm,finished,2026-02-02T06:57:56Z,traj_reward_fresh_configA_IS,True,reward_fresh,True,500,True
20260203_141744_traj_reward_fresh,cvdumwwz,finished,2026-02-04T07:11:38Z,traj_reward_fresh,True,reward_fresh,True,500,False
20260203_144832_traj_reward_fresh_configA,odvklmgi,finished,2026-02-04T07:12:01Z,traj_reward_fresh_configA,True,reward_fresh,True,500,False
20260203_145221_traj_reward_fresh_configA_age1000,j0qtxtnp,finished,2026-02-04T07:12:23Z,traj_reward_fresh_configA_age1000,True,reward_fresh,True,1000,False
20260203_145728_traj_reward_fresh_configA_age1500,igko9ff9,finished,2026-02-04T07:12:46Z,traj_reward_fresh_configA_age1500,True,reward_fresh,True,1500,False
